,Fold_GSE118370,Fold_GSE23066,Fold_GSE40791,Fold_GSE30219,Fold_GSE31210,Fold_GSE18842,Fold_GSE50081,Fold_GSE140797,Fold_GSE19804,Fold_GSE7670,Fold_GSE19188,Importancia_Media,Consistencia_Signo
ACAA2,-0.2349114128153142,-0.27608117905190105,-0.2455250422986207,-0.13341966925633372,-0.09483102945788897,-0.21957485084267278,-0.28689525027636353,-0.2166527758717802,-0.31285966058006975,-0.2680455848928115,-0.10826239583180267,0.2179144410159599,-11.0
ELMO1,-0.23749998615308632,-0.1751523361007879,-0.30344441310950054,0.0,-0.2793658417726024,-0.2215261988854516,-0.28165284057024054,-0.2648143034030341,-0.06481405191086258,-0.2306717918065139,-0.33464922779895473,0.21759918104645767,-10.0
TIPRL,0.24275075204555813,0.20661282659393473,0.21482191498686382,0.20220750940339619,0.14236494402202016,0.29128589163250496,0.24291633337725138,0.25086597198109517,0.06008323716771683,0.28491042059889854,0.22981747059165503,0.2153306611273541,11.0
HAND2,-0.2495630048737659,-0.13933609185429505,-0.29442342900594065,-0.17736881511750513,-0.1851104615398949,-0.17856822059709018,-0.2142502435619613,-0.25803938235275814,-0.12429783404124371,-0.27851767383292025,-0.24341684532766894,0.2129901820095495,-11.0
LEPREL2,0.22233856632243598,0.20969311764786394,0.2474718396436205,0.16434929418302904,0.09641826344485188,0.18370917506803242,0.27261850210540783,0.2932198773267929,0.0002371442308343216,0.33101842596974307,0.2981668225401744,0.2108400934984351,11.0
NELL1,0.24385775685837305,0.11037439310922902,0.20673236663874334,0.31376395637895144,0.10273209640905069,0.17342590049710233,0.1590163973868363,0.22582052890705812,0.13095573364766827,0.23056969597487464,0.32958141063591795,0.20243911240398227,11.0
PSD3,0.2986838462160106,0.3237221892428659,0.20407667758324652,0.13290020520343393,0.09228531516000522,0.20146350596506293,0.24508143429787657,0.27916696474359587,0.117530360530175,0.14941408113533217,0.122129989533281,0.19695041541917144,11.0
TERT,0.26095821402613717,0.16545532450571077,0.21141033833083814,0.16349288932362713,0.0,0.21204249623748228,0.1740370744525995,0.26615062964636316,0.2275773742052268,0.20375718452111258,0.26104461091632647,0.19508419419685674,10.0
DCC,-0.2619194133742209,-0.26760798126383345,-0.24060315766803192,-0.17836335122901087,-0.1154970141267664,-0.26827262915310474,-0.26354729761087226,-0.2613930659727865,0.0,-0.2610285917087569,-0.02013990048844591,0.19439749114507546,-10.0
RAB11FIP1,-0.1845663325491663,-0.24157041669586907,-0.2116895707813212,-0.23566037984378066,-0.03403397340768742,-0.23616402167396053,-0.14394483427161692,-0.26781805065928577,-0.09868024386632972,-0.3172122004663488,-0.1572235179154962,0.19350577655735116,-11.0
GTF2I,0.17628585156279375,0.18070294564954306,0.16502300911288317,0.17155439520024815,0.2907202890073081,0.18101198309335279,0.1288067231044837,0.2757119335147038,0.32701013023133896,0.22903997607613175,0.0,0.1932606578684352,10.0
GNB3,0.19883665309508114,0.21050491279302697,0.2138817872060776,0.2714169314484947,0.013780643010147914,0.17284223148924582,0.21833861727824933,0.213557703383309,0.19757850078792655,0.23623973678775873,0.17744890847226982,0.19312969325014429,11.0
ABCA4,0.2183241356489908,0.22277800531149125,0.1638109405267343,0.28767933538053403,0.11405960338324314,0.20244553148867747,0.14950666932404635,0.2384372369847961,0.08563000864934499,0.2183064028587554,0.20660395438333254,0.1915983476309042,11.0
SEC13,0.2215114381797705,0.21595671818185908,0.13448276689610406,0.20932984029068877,0.2228084180285828,0.21135394043563893,0.17598622744484857,0.19817318939706202,0.0,0.23991288213671527,0.20376161257574874,0.18484336668791077,10.0
GSK3A,0.16505585414272514,0.18997204319492586,0.24238282195826444,0.06314998511541135,0.0,0.2078012708211124,0.22401039458907904,0.23272202884148185,0.16236715379656463,0.2046046031221396,0.3237301625586321,0.1832542107400306,10.0
PTPRB,0.31172382873660487,0.1541806946212154,0.2164451584480847,0.0,0.033639564430438654,0.20146987689296997,0.28796404317072277,0.26862727785738466,0.09364554965839034,0.2583069747502168,0.17312653681574228,0.1817390459437973,10.0
ENTPD4,0.18076659758003752,0.14014290809940452,0.12088282893687338,0.29923783308586277,0.010723263695673531,0.22869121542548437,0.10813956199324876,0.2202532870997524,0.19693171941249904,0.21057537092637363,0.2298560583746706,0.17692733132998917,11.0
