GENE_SYMBOL,Num_Estudios,LogFC_Medio,Consistencia_Direccional,GSE118370,GSE18842,GSE19188,GSE19804,GSE31210,GSE7670
PPP1R16B,6,-0.9420986151208958,1.0,-1.206901262991452,-0.8483919748951294,-0.5759614602469929,-0.7830859961651697,-0.9634192800810196,-1.274831716345611
EFCC1,6,-1.639391578760538,1.0,-1.971811306442902,-0.8315749916609398,-0.8240664597836332,-0.6631186022265192,-1.6944013362230672,-3.851376776226166
SEMA3G,6,-2.2443485651463444,1.0,-2.6444578431405183,-1.9847203608438369,-2.6504662713459703,-1.862160912611614,-2.073983751013616,-2.25030225192251
HN1L,6,0.923788429932766,1.0,1.422658866774395,0.7479045423024848,0.6766558822016457,0.7237121910696311,1.077748739345788,0.8940503579026515
SYNM,6,-1.6633975221388788,1.0,-1.3359854034175085,-1.4936332456838146,-1.6459040414781467,-1.753678221673037,-2.0457836427173604,-1.705400577863406
CDH5,6,-2.3885801373481894,1.0,-2.533209624236113,-2.5408295752094343,-2.589405729221281,-2.2118541193934,-2.2384866883070824,-2.217695087721827
SYNPO,6,-0.7394048106988347,1.0,-0.8589466735537936,-0.4475003478408386,-0.5630603344085326,-0.3386986044124418,-0.8414727656560927,-1.3867501383213092
STEAP3,6,0.9726038384911279,1.0,1.120706029818125,0.7670563216200881,0.3724927336983551,0.9969651275704744,1.4408406289007214,1.1375621893390022
SASH1,6,-1.5418345698768803,1.0,-1.7336705951620388,-1.4402814656484333,-1.5329555479872048,-1.381618948138044,-1.665560645142623,-1.4969202171829377
SPTBN1,6,-1.163518173339876,1.0,-1.7129695702922056,-0.8071864700679701,-0.8934163256878069,-0.9659426486512714,-1.1468793455542468,-1.4547146797857555
PRX,6,-1.2217210524889306,1.0,-2.044532474537038,-0.5902056621373202,-0.6174852458911957,-0.4898936088068408,-1.5820392586995444,-2.006170064861645
EPB41L2,6,-0.8938137821848433,1.0,-1.694274418521065,-0.4185342979066107,-0.6311647842397045,-0.6688871756170931,-1.0003981715396095,-0.949623845284977
EPHB2,6,0.9990935115240832,1.0,1.2349522496461631,0.9304028279441408,0.7455911955465457,0.6505977633793654,1.1105430267144063,1.322474005913878
SPTAN1,6,-0.6149288087872481,1.0,-0.9010952725942474,-0.5055334332649579,-0.479988974073731,-0.3569906349327247,-0.4120745371801977,-1.03389000067763
HOXA5,6,-1.8035975074382424,1.0,-1.8224863415740753,-2.056133994831309,-1.752827745152675,-1.4236290661384423,-1.6478277696067014,-2.118680127326252
SEMA6A,6,-1.5199997950381572,1.0,-2.82157899508102,-0.7179214085721535,-1.022715231698052,-1.0524669104730917,-2.116526324600557,-1.3887898998040695
AKAP2,6,-1.645467837111382,1.0,-1.920653328435547,-1.655579035409061,-1.437748731795811,-1.465843168568293,-1.45596231367084,-1.9370204447887396
MOCS1,6,-0.6614325844104699,1.0,-1.0670307553163587,-0.5210637912806932,-0.5489879628620864,-0.4362833682195584,-0.6219301203773622,-0.7732995084067609
EPAS1,6,-1.7200553601111166,1.0,-2.0972747813492063,-2.029734876332677,-1.429687928810953,-1.744401747577916,-1.02031630044484,-1.998916526151108
AKAP12,6,-1.5731702864243378,1.0,-2.023609538607805,-1.3522180163384192,-1.4588926413265788,-1.6867853099720709,-1.5840440464505896,-1.3334721658505622
HOXA4,6,-0.8856652796954859,1.0,-1.3340354355423276,-0.4296404951603509,-0.4949554221437471,-0.6195761654091481,-1.2792070495167964,-1.1565771104005451
TSC22D1,5,-0.46593599009795394,1.0,,-0.2486709296289726,-0.2887980891998924,-0.3168520115761764,-0.4274446979334385,-1.0479142221512898
KIF2C,5,1.8051510272344466,1.0,,2.787814106223519,2.394649953108318,1.1284165675135809,1.5726757843523638,1.1421987249744507
