GENE_SYMBOL,Puntuacion_Consenso,LogFC_Medio,Importancia_Media,Consistencia_Signo,Num_Estudios
CANT1,0.06672168062868479,0.6415600440703046,0.0,0.0,5
LSM12,0.06670345008675356,0.6413941567019211,0.0,0.0,4
CAPN9,0.06670135478841746,-0.6413750907011261,0.0,0.0,3
PRRG4,0.06669352019290839,0.6413038004215365,0.0,0.0,2
GDE1,0.06668154816946559,0.6411948619450696,0.0,0.0,2
RAD21,0.06667122676139127,0.6411009431120519,0.0,0.0,2
AIMP2,0.06666620521919364,0.6410552499876493,0.0,0.0,5
HDAC1,0.06666257260231594,0.641022195278883,0.0,0.0,4
NR1H3,0.0666165392140635,-0.6406033181185782,0.0,0.0,1
HSPE1,0.06660146558664153,0.6404661568430408,0.0,0.0,4
TMED3,0.06657409024070307,0.6402170570568989,0.0,0.0,5
SCARF1,0.06649805788967623,-0.6395252067174284,0.0,0.0,4
HDGF,0.0664920749772442,0.6394707656809324,0.0,0.0,4
TLR5,0.06647657346749349,-0.6346890419420614,0.0004209115244395,-1.0,2
SMC5,0.06647507576686498,-0.1987708178427916,0.0399577258664734,-6.0,4
GOT2,0.06641876265775042,0.6388036660523645,0.0,0.0,6
DPAGT1,0.0664134193266248,0.5634022239056323,0.0068345470988844,4.0,4
TDG,0.06640183249149076,0.638649611349125,0.0,0.0,2
PPM1D,0.06639839906211324,-0.6386183691311967,0.0,0.0,5
MARCKS,0.06638512033424822,0.638497540401622,0.0,0.0,2
REPS2,0.06637876469427272,-0.6384397077604472,0.0,0.0,3
FES,0.06635632886034334,-0.6144633080922873,0.0021561573526757,-2.0,4
CPD,0.06634953159766004,0.638173703519593,0.0,0.0,4
DNAJC22,0.0663453510852472,0.6381356632789201,0.0,0.0,4
ATP8A1,0.06634345840506464,-0.5816981360247652,0.0051173562825342,-1.0,4
CD151,0.06631076434127874,-0.6378209439491533,0.0,0.0,2
PGK1,0.06622056965258898,0.6370002245429307,0.0,0.0,5
BARD1,0.06621748884993924,0.6369721910239052,0.0,0.0,4
CAMK1,0.06618104075257115,-0.6366405344567123,0.0,0.0,2
PEG3,0.06616216684789632,-0.636468792860141,0.0,0.0,4
ZAK,0.06615739723278966,-0.6364253921262939,0.0,0.0,5
ZNF239,0.06615021400398893,0.6363600289063335,0.0,0.0,4
COASY,0.06614249960597186,0.6362898323542758,0.0,0.0,4
DENND4A,0.06610011618846316,-0.6359041678128629,0.0,0.0,3
CHPT1,0.06608421849304232,-0.6357595079960194,0.0,0.0,4
PDZRN4,0.06607317374353264,-0.6356590071750604,0.0,0.0,3
FAM83E,0.06600454837109866,0.635034556049013,0.0,0.0,2
RASSF1,0.06595439133932349,-0.634578156121984,0.0,0.0,4
ATXN3L,0.06593521441194479,0.6344036571943859,0.0,0.0,1
GSPT2,0.06589513186896813,-0.6340389292780354,0.0,0.0,1
DYSF,0.06584974717956764,-0.6336259549014123,0.0,0.0,4
RAB3B,0.06584515419029507,0.6335841613603144,0.0,0.0,4
ELL3,0.06581177918965422,0.5358986952988696,0.0088325865602064,2.0,4
PLAGL2,0.06579314051678468,0.6331108670692753,0.0,0.0,1
FUT9,0.06577585213503319,0.5892349257808964,0.0039653062998965,1.0,3
HIST1H2AJ,0.06576593592214904,0.6328633210210519,0.0,0.0,4
RARA,0.065742954524877,-0.2711323600064452,0.0327902530653141,-5.0,3
YEATS4,0.06574205231234836,0.6326459940105725,0.0,0.0,5
MITF,0.06571312085380171,-0.6323827345013432,0.0,0.0,4
HOXC13,0.06569865931521254,0.6322511428795262,0.0,0.0,4
E2F3,0.06567815808715388,0.6320645935830702,0.0,0.0,5
TLR1,0.06564427258383225,-0.6317562551368748,0.0,0.0,3
TDRKH,0.06557892128085632,0.6311615961458253,0.0,0.0,3
SMURF2,0.06557294216262582,-0.6311071896343649,0.0,0.0,3
HEYL,0.06556912194273358,-0.6310724278468677,0.0,0.0,4
CLDN7,0.06556237834495128,0.6310110650144427,0.0,0.0,2
DHX9,0.06555644478515223,0.6309570730583108,0.0,0.0,2
YIF1A,0.06553136009936696,0.6307288169523024,0.0,0.0,5
CLK1,0.06552890832472362,-0.6307065072236621,0.0,0.0,4
FOXO1,0.06551452487566328,-0.6305756261713106,0.0,0.0,5
DCHS1,0.06547325191549498,-0.630200066148271,0.0,0.0,4
CSNK2A1,0.06545797236442735,0.630061031086875,0.0,0.0,3
CASK,0.06545383772785064,0.6300234082897294,0.0,0.0,5
C3orf62,0.06544862366214564,-0.3506514679912512,0.0253349031343303,-5.0,4
OPTN,0.06544261891314869,-0.6299213235763781,0.0,0.0,5
HMGA2,0.0654262274759986,0.4597609042640396,0.015420126220707,3.0,4
PON1,0.06540422142385299,0.5640395063949883,0.0059438309147865,3.0,2
KIF22,0.06539697127799586,0.6295059565457655,0.0,0.0,4
ARG2,0.06535800221028587,0.6291513606091688,0.0,0.0,4
APOO,0.06532783753206921,0.6288768795154979,0.0,0.0,4
HIST1H1D,0.06530794647659165,0.628695882435982,0.0,0.0,4
MCTP1,0.06530004594214647,-0.6286239921502803,0.0,0.0,3
SYN2,0.06529677787258849,-0.6285942546108965,0.0,0.0,3
HIST1H2AC,0.06527993974876543,0.6284410374404986,0.0,0.0,3
NEDD4,0.06525656599679829,-0.6282283498408812,0.0,0.0,4
SLC25A13,0.06523092223218357,0.6279950064414678,0.0,0.0,5
PTPLAD1,0.0651948374233049,0.6276666555890309,0.0,0.0,4
ARPC1A,0.06519400974135711,0.6276591241628837,0.0,0.0,2
SLC1A7,0.06518455996718919,0.6275731366933698,0.0,0.0,3
DEFB4A,0.06515228942662846,0.6272794934725523,0.0,0.0,1
CWC25,0.06511695714444085,-0.4135223535310032,0.0193587432194654,-4.0,4
MORC2,0.06504160807305688,0.6262723572863449,0.0,0.0,5
DNMT1,0.06501833416603515,0.6260605782178783,0.0,0.0,4
RBM28,0.06497686261626065,0.6256832111444895,0.0,0.0,5
PKD2,0.06495840853785848,-0.6255152897237426,0.0,0.0,4
EFHD1,0.0649047259440031,-0.6250268092245745,0.0,0.0,2
IL1A,0.06490255275722676,-0.6250070344841037,0.0,0.0,2
NUPL1,0.06488797856581147,-0.5654859370965009,0.0053865716426049,-3.0,2
SYT13,0.06487362092716205,0.6247437715942753,0.0,0.0,4
CYTIP,0.06481888114306422,-0.6242456712764611,0.0,0.0,3
GAS7,0.06481284751558744,-0.6241907687624434,0.0,0.0,4
CREB3L1,0.06480926620302592,0.6241581808932275,0.0,0.0,2
IQGAP2,0.06480101717079469,-0.6240831194796003,0.0,0.0,2
PSMD14,0.06478055731946815,0.623896946687432,0.0,0.0,4
UQCRH,0.06469955712588704,0.6231598918591985,0.0,0.0,4
TBX21,0.06468201756739811,-0.6230002920397684,0.0,0.0,5
CFTR,0.06465781731009436,-0.6227800837204838,0.0,0.0,4
PDZRN3,0.06462994331416011,-0.6225264465083095,0.0,0.0,4
SEC24D,0.06459791654450807,0.6222350214615147,0.0,0.0,4
VNN1,0.06458466412277053,0.6221144321024576,0.0,0.0,1
FBN2,0.06456499918751381,0.6219354925859323,0.0,0.0,2
DGKA,0.06452027330403723,0.6215285129614896,0.0,0.0,4
LPXN,0.0645171585302876,-0.6215001703251387,0.0,0.0,3
RASSF4,0.06451074534664815,0.6214418140699642,0.0,0.0,1
VARS,0.06449899228029661,0.6213348679761592,0.0,0.0,5
SEC14L4,0.06449376930287379,-0.6212873419079235,0.0,0.0,4
LDB3,0.06449360734478633,-0.6212858681831698,0.0,0.0,5
IARS,0.06444297177311124,0.6208251138203286,0.0,0.0,5
RAB15,0.06442765937434249,0.620685779863885,0.0,0.0,4
ADRA1D,0.06439037106399226,-0.6203464778453931,0.0,0.0,1
CSF2RA,0.06434952380505372,-0.6199747914568834,0.0,0.0,2
DYNC1I1,0.06434908843988041,0.6199708298860667,0.0,0.0,2
PLK2,0.06433842306455954,-0.6198737811504079,0.0,0.0,3
DHCR7,0.06433824950446018,0.6198722018540683,0.0,0.0,4
HEATR2,0.06432481989796177,0.6197500002163523,0.0,0.0,5
MAPK11,0.06430488842899691,-0.6195686353975186,0.0,0.0,2
IRS2,0.06430239188531339,-0.6195459182965527,0.0,0.0,3
SPINK4,0.06429374818688652,0.6194672656492237,0.0,0.0,2
PVRL1,0.06427000998262229,0.6192512617448747,0.0,0.0,5
SNRPD1,0.06425693377502835,0.6191322758324219,0.0,0.0,3
RHOBTB1,0.06425003546378241,-0.6190695051971223,0.0,0.0,4
IFI27,0.06421380216409575,-0.6187398031643717,0.0,0.0,2
HPRT1,0.06421180950362544,0.6187216711086847,0.0,0.0,5
ARHGAP25,0.06420336079030795,-0.6186447927128722,0.0,0.0,5
ADH1C,0.06416485211462034,-0.6182943860769176,0.0,0.0,1
OPLAH,0.06415604851202734,0.618214278394329,0.0,0.0,4
VDR,0.06414613685501458,0.5345997718929001,0.0075757067312725,1.0,4
HMBOX1,0.06414577142541888,-0.6181207628609697,0.0,0.0,4
SFXN3,0.06413918310997513,-0.6180608130078514,0.0,0.0,2
PLA2G4C,0.06413262059645895,-0.6180010979373238,0.0,0.0,4
SEC31B,0.0641228665638519,-0.6179123418923079,0.0,0.0,3
SOX15,0.06407601910840378,0.6174860571922114,0.0,0.0,3
C1orf21,0.06404520986064137,-0.6172057108891523,0.0,0.0,4
MUC13,0.06398644661082742,0.616670999364609,0.0,0.0,4
